filename,label,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
good-posture-0a8d41d6-c997-11ed-9a14-9199cc3b67b2_jpg.rf.a7089b23e30d2b1558b6125c29aa2dac.jpg,0,329,246,497,447,184,434,450,906,222,908
good-posture-0d8f87f4-c997-11ed-9a14-9199cc3b67b2_jpg.rf.7fc31afa140ec333a59114968d1acd91.jpg,0,330,243,497,448,185,431,447,906,221,907
good-posture-10925fa8-c997-11ed-9a14-9199cc3b67b2_jpg.rf.443398d7893fa9b5267c607e76b67828.jpg,0,330,241,497,449,186,428,446,906,220,905
good-posture-1392ab2c-c997-11ed-9a14-9199cc3b67b2_jpg.rf.082a6799afa24cc86a4c573719486bbe.jpg,0,330,241,497,449,186,427,445,906,220,904
good-posture-16958ef2-c997-11ed-9a14-9199cc3b67b2_jpg.rf.f5acb039ce58c1671da8f505bc52ccf3.jpg,0,330,240,497,449,186,426,445,905,220,902
good-posture-1996ab18-c997-11ed-9a14-9199cc3b67b2_jpg.rf.ac41c935509a4ecab68c9e1d52c03da5.jpg,0,330,240,497,450,186,426,445,906,220,902
good-posture-1c988f16-c997-11ed-9a14-9199cc3b67b2_jpg.rf.71b02f363b927f36f1dc195473d52e93.jpg,0,332,239,497,450,188,430,448,905,226,903
good-posture-1f98174a-c997-11ed-9a14-9199cc3b67b2_jpg.rf.6deb7ba28946442daa650becfc490b3e.jpg,0,333,239,496,450,190,433,450,906,228,905
good-posture-2297e2ae-c997-11ed-9a14-9199cc3b67b2_jpg.rf.1ac992d216c372779c40e0bd5ebfd389.jpg,0,333,239,496,450,191,435,450,906,228,906
good-posture-25996db0-c997-11ed-9a14-9199cc3b67b2_jpg.rf.05a10cab459282390d73587dcda0e693.jpg,0,339,239,495,450,191,436,452,905,231,906
good-posture-289a64d8-c997-11ed-9a14-9199cc3b67b2_jpg.rf.be388807629f2ce66bd77f10a072a7bf.jpg,0,331,239,495,450,191,437,451,908,231,907
good-posture-2b9c3f6c-c997-11ed-9a14-9199cc3b67b2_jpg.rf.3853718d0a2ec2b0c46ab64f586b9379.jpg,0,330,241,495,450,191,440,452,908,231,908
good-posture-2e9ed2ec-c997-11ed-9a14-9199cc3b67b2_jpg.rf.973274e864a0449f4db0536501a3e04e.jpg,0,337,244,495,450,192,441,454,908,234,910
good-posture-319f773a-c997-11ed-9a14-9199cc3b67b2_jpg.rf.0f1e2c75741e8f5e43d5c5ea0fe8d253.jpg,0,342,244,493,450,192,441,454,907,236,910
good-posture-34a05ec2-c997-11ed-9a14-9199cc3b67b2_jpg.rf.b4667f83c79933b4b465507b754f97e3.jpg,0,335,244,493,450,192,441,454,907,235,910
bad-posture-5f676e38-c998-11ed-9a14-9199cc3b67b2_jpg.rf.997399eb3bd72536ebb667bc4969daa2.jpg,1,474,286,510,466,210,441,456,932,246,929
bad-posture-626ae4ca-c998-11ed-9a14-9199cc3b67b2_jpg.rf.ffa429d27197d06ca72bf055cf9999ba.jpg,1,493,295,519,478,217,440,457,941,247,939
bad-posture-656abe34-c998-11ed-9a14-9199cc3b67b2_jpg.rf.d3570b1d06aaef0129f1990bbfd27d6b.jpg,1,488,297,524,483,221,440,457,944,246,943
bad-posture-686aec3a-c998-11ed-9a14-9199cc3b67b2_jpg.rf.10d52c4ad937ccfdfdeec5ca7aff3a91.jpg,1,485,304,524,486,222,440,456,948,247,947
bad-posture-6b6c4adc-c998-11ed-9a14-9199cc3b67b2_jpg.rf.77389e86e0fb1fc71c7c6ac7d0425879.jpg,1,480,306,523,488,222,439,456,946,247,946
bad-posture-6e6d6658-c998-11ed-9a14-9199cc3b67b2_jpg.rf.f1ef7a6ffda50df3856021856d447603.jpg,1,487,305,522,487,221,438,456,947,247,945
bad-posture-716eb19a-c998-11ed-9a14-9199cc3b67b2_jpg.rf.7039e0937bb4131693e8b1598f78133b.jpg,1,325,379,470,449,154,472,446,896,227,914
bad-posture-74702ac2-c998-11ed-9a14-9199cc3b67b2_jpg.rf.2e0f4388c65378526a5fe47856f8eb9e.jpg,1,418,338,478,450,166,457,442,902,228,911
bad-posture-777114d4-c998-11ed-9a14-9199cc3b67b2_jpg.rf.b779bcd4a0a2b8a182ac6ef353caeac8.jpg,1,235,336,432,439,107,483,428,905,189,922
bad-posture-7a719208-c998-11ed-9a14-9199cc3b67b2_jpg.rf.f8ccfd9231a8835dd726b97766e913ad.jpg,1,302,333,438,389,161,398,429,793,191,798
bad-posture-7d721ba8-c998-11ed-9a14-9199cc3b67b2_jpg.rf.1d725b8ac277ff306072a7e06f5d518c.jpg,1,453,324,523,444,226,412,449,864,249,820
bad-posture-8073ccb6-c998-11ed-9a14-9199cc3b67b2_jpg.rf.187caa93062bde20c85b4274f3c3428e.jpg,1,182,311,436,432,129,519,430,906,220,909
bad-posture-83744864-c998-11ed-9a14-9199cc3b67b2_jpg.rf.54cc13b5e5d70987617b8142f4f461c4.jpg,1,207,309,430,427,123,500,429,899,211,909
bad-posture-867540ae-c998-11ed-9a14-9199cc3b67b2_jpg.rf.987677ea776a041ec8fc8defae6ca447.jpg,1,296,346,494,465,132,496,464,948,212,951
bad-posture-8976f55e-c998-11ed-9a14-9199cc3b67b2_jpg.rf.54f169cf586a8068944fd4f140c9ee4b.jpg,1,452,400,515,469,137,492,461,941,208,946
